"cohort","discovery","replication","n","replic_rate","AUC_grade","grade_lo","grade_hi","AUC_idh","AUC_detect","AUC_precision"
"CGGA-693","unadjusted","unadjusted",6512,0.622,0.815,0.805,0.825,0.771,0.358,0.591
"CGGA-693","unadjusted","grade+IDH-adjusted",6512,0.203,0.7,0.684,0.714,0.588,0.328,0.317
"CGGA-693","grade+IDH-adjusted","unadjusted",193,0.793,0.746,0.657,0.831,0.755,0.414,0.792
"CGGA-693","grade+IDH-adjusted","grade+IDH-adjusted",193,0.223,0.653,0.557,0.74,0.634,0.503,0.436
"CGGA-325","unadjusted","unadjusted",6512,0.701,0.931,0.925,0.937,0.839,0.366,0.439
"CGGA-325","unadjusted","grade+IDH-adjusted",6512,0.491,0.782,0.771,0.792,0.662,0.422,0.357
"CGGA-325","grade+IDH-adjusted","unadjusted",193,0.788,0.805,0.732,0.872,0.778,0.553,0.587
"CGGA-325","grade+IDH-adjusted","grade+IDH-adjusted",193,0.668,0.806,0.737,0.868,0.724,0.537,0.357
"array-301","unadjusted","unadjusted",6512,0.684,0.924,0.917,0.93,0.842,0.525,0.505
"array-301","unadjusted","grade+IDH-adjusted",6512,0.253,0.741,0.729,0.755,0.658,0.453,0.396
"array-301","grade+IDH-adjusted","unadjusted",193,0.71,0.813,0.745,0.874,0.785,0.655,0.486
"array-301","grade+IDH-adjusted","grade+IDH-adjusted",193,0.244,0.681,0.582,0.77,0.635,0.493,0.39
