"cohort","analysis","grade2","grade3","grade4","n2","n3","n4","r_idhwt","n_idhwt","p_vs_TCGA_idhwt","r_idhmut","n_idhmut","p_vs_TCGA_idhmut","mean_idhwt","mean_idhmut","diff","p_wilcox","n_genes","slope","r_of_r","egfr_resid_z","egfr_percentile"
"TCGA","idh_mutant_fraction",0.911214953271028,0.721991701244813,0.0754716981132075,214,241,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGGA-693","idh_mutant_fraction",0.761904761904762,0.709677419354839,0.180451127819549,126,124,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGGA-325","idh_mutant_fraction",0.89247311827957,0.44,0.129411764705882,93,50,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGGA-301","idh_mutant_fraction",0.714285714285714,0.476190476190476,0.12962962962963,112,42,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCGA","r_egfr_grade_within_idh",NA,NA,NA,NA,NA,NA,0.056037370221661,331,NA,7.13552722588465e-06,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGGA-693","r_egfr_grade_within_idh",NA,NA,NA,NA,NA,NA,0.162657680299187,175,0.251213612476168,-0.0937243091202745,208,0.276695002315444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGGA-325","r_egfr_grade_within_idh",NA,NA,NA,NA,NA,NA,0.0646308542814454,112,0.937817958338462,-0.144764540670707,116,0.172850947928697,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGGA-301","r_egfr_grade_within_idh",NA,NA,NA,NA,NA,NA,0.0785887265369723,148,0.820290273773457,-0.246533972732037,114,0.0194261095647203,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCGA","egfr_by_idh_grade4",NA,NA,NA,NA,NA,NA,NA,245,NA,NA,20,NA,7.54965458080008,6.26957868510665,1.28007589569343,0.0192359766289032,NA,NA,NA,NA,NA
"CGGA-693","egfr_by_idh_grade4",NA,NA,NA,NA,NA,NA,NA,109,NA,NA,24,NA,3.90742901359456,4.0627924810112,-0.155363467416642,0.247867157988794,NA,NA,NA,NA,NA
"CGGA-325","egfr_by_idh_grade4",NA,NA,NA,NA,NA,NA,NA,74,NA,NA,11,NA,5.22433219301979,4.36866894645995,0.855663246559848,0.623443262937825,NA,NA,NA,NA,NA
"CGGA-301","egfr_by_idh_grade4",NA,NA,NA,NA,NA,NA,NA,94,NA,NA,14,NA,0.226979124723404,-0.307074037142857,0.534053161866261,0.80140734072006,NA,NA,NA,NA,NA
"CGGA-693","attenuation_background",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14678,0.415836025227824,0.795194809148755,-1.28485072068721,0.100149884180406
