"delta","frac","rep","nA","nB","coupling_A","coupling_B","n_prog","replic_rate","auc_replication","auc_detect_corrupt","replic_corrupt","replic_clean"
0,0,1,356,360,-0.696207487466252,-0.706095245012775,1697,0.978196817913966,0.936307391729079,NA,NA,0.978196817913966
0,0,2,370,346,-0.679044024642199,-0.721148051056746,1789,0.92509782001118,0.931496595571989,NA,NA,0.92509782001118
0,0,3,348,368,-0.704496352240039,-0.695875660867668,1732,0.96189376443418,0.961502782931354,NA,NA,0.96189376443418
0,0,4,356,360,-0.669065434276661,-0.729053412970839,1683,0.975638740344623,0.953655565788301,NA,NA,0.975638740344623
0,0,5,354,362,-0.758165832395735,-0.641115132102603,1776,0.933558558558559,0.910362699597228,NA,NA,0.933558558558559
0,0,6,360,356,-0.68370181610671,-0.716696119001054,1706,0.967174677608441,0.965151515151515,NA,NA,0.967174677608441
0.1,0,1,424,292,-0.767217041232984,-0.596823986328946,1815,0.878787878787879,0.935029923055001,NA,NA,0.878787878787879
0.1,0,2,402,314,-0.753053323781222,-0.627829234033501,1763,0.949517867271696,0.95326406507994,NA,NA,0.949517867271696
0.1,0,3,427,289,-0.753116103934531,-0.614806147610902,1788,0.899888143176734,0.889646575998833,NA,NA,0.899888143176734
0.1,0,4,416,300,-0.744115709619314,-0.640786514148933,1798,0.922135706340378,0.941138204377046,NA,NA,0.922135706340378
0.1,0,5,419,297,-0.72360546312129,-0.667592659754338,1799,0.897165091717621,0.929662748250109,NA,NA,0.897165091717621
0.1,0,6,405,311,-0.765931788589735,-0.613068561449633,1813,0.907887479316051,0.905413959444416,NA,NA,0.907887479316051
0.2,0,1,477,239,-0.76497319627759,-0.558789353353829,1783,0.924845765563657,0.92175266783125,NA,NA,0.924845765563657
0.2,0,2,459,257,-0.783982255464115,-0.530756928406918,1821,0.813289401427787,0.862711999046749,NA,NA,0.813289401427787
0.2,0,3,463,253,-0.789269737740544,-0.526096590620971,1816,0.890418502202643,0.919799989433873,NA,NA,0.890418502202643
0.2,0,4,438,278,-0.833468774359559,-0.498204085464945,1820,0.746153846153846,0.814270412944934,NA,NA,0.746153846153846
