"mode","dose","rep","n_prog","replic_all","replic_corrupt","replic_clean","auc_detect","var_frac_corrupted","var_frac_uncorrupted"
"permute",0.25,1,1697,0.967589864466706,0.925373134328358,0.977973568281938,0.6304203125,0.18437486904433,0.323768752046571
"permute",0.25,2,1737,0.936096718480138,0.903790087463557,0.944045911047346,0.6155078125,0.210895662082393,0.357283559352587
"permute",0.25,3,1704,0.961267605633803,0.92603550295858,0.969985358711567,0.6394546875,0.201696034089456,0.346818949833126
"permute",0.25,4,1702,0.970035252643948,0.920118343195266,0.982404692082111,0.634603125,0.191915943876246,0.331716213667296
"permute",0.5,1,1812,0.83167770419426,0.509383378016086,0.915218902015288,0.7303875,0.0936519371305824,0.332068898366884
"permute",0.5,2,1699,0.897586815773985,0.728813559322034,0.942007434944238,0.7144953125,0.101786801249229,0.36362388915444
"permute",0.5,3,1711,0.909994155464641,0.718390804597701,0.958914159941306,0.7231515625,0.100534349733737,0.345280241678918
"permute",0.5,4,1724,0.918793503480278,0.742209631728045,0.964259664478483,0.741996875,0.0954731547087398,0.341576245189834
"permute",0.75,1,1746,0.811569301260023,0.252124645892351,0.953338119167265,0.855540625,0.0349443588515514,0.343449305400679
"permute",0.75,2,1770,0.794915254237288,0.221910112359551,0.939179632248939,0.852296875,0.0340983905454995,0.361341375132755
"permute",0.75,3,1766,0.814835787089468,0.194029850746269,0.960167714884696,0.8666546875,0.0341768462087114,0.327085499348427
"permute",0.75,4,1704,0.835093896713615,0.293768545994065,0.968544257498171,0.8563046875,0.0356166211749352,0.339955289266101
"noise",0.5,1,1767,0.948500282965478,0.938375350140056,0.951063829787234,0.5715171875,0.251640885841981,0.314110727202644
"noise",0.5,2,1630,0.98282208588957,0.978851963746224,0.983833718244804,0.5748875,0.26956506345369,0.33118959645877
"noise",0.5,3,1719,0.951134380453752,0.927953890489914,0.956997084548105,0.5655234375,0.27117011829228,0.340643960676727
"noise",0.5,4,1726,0.946697566628042,0.947674418604651,0.946454413892909,0.5541578125,0.279005742344783,0.347456317596935
"noise",1,1,1790,0.924022346368715,0.836111111111111,0.946153846153846,0.6355796875,0.184310865369969,0.349627528745795
"noise",1,2,1785,0.909243697478992,0.816901408450704,0.932167832167832,0.6542453125,0.171358698107977,0.329319903375052
"noise",1,3,1752,0.914954337899543,0.815561959654179,0.939501779359431,0.662609375,0.161874333063686,0.3142142953872
"noise",1,4,1784,0.901905829596413,0.804945054945055,0.926760563380282,0.6599328125,0.169089938285097,0.325445387091928
"noise",2,1,1757,0.848036425725669,0.524079320113314,0.92948717948718,0.775215625,0.0726809500182355,0.333710674193832
"noise",2,2,1766,0.843148357870895,0.52,0.923022598870056,0.793328125,0.0794513014903716,0.328130816791893
"noise",2,3,1737,0.885434657455383,0.604790419161677,0.952245188880969,0.79108125,0.0796874473010053,0.340884604326717
"noise",2,4,1787,0.8505875769446,0.527624309392265,0.932631578947368,0.757615625,0.0830069748516027,0.362841973479813
"compress",0.75,1,1729,0.960092539039907,0.941011235955056,0.96504005826657,0.6055296875,0.248215079028287,0.350045626417205
