"cohort","model","HR","CI_low","CI_high","p","C_index","n","events","ph_p_EGFR","ph_p_global"
"TCGA-LGG","1. unadjusted",1.59,1.3,1.94,6.85e-06,0.592,511,125,0.982,0.982
"TCGA-LGG","2. + age",1.37,1.14,1.66,0.00106,0.744,511,125,0.875,0.00317
"TCGA-LGG","3. + age + grade",1.31,1.07,1.59,0.00822,0.786,454,106,0.23,0.00387
"TCGA-LGG","4. + age + grade + IDH",1.13,0.952,1.33,0.164,0.83,452,105,0.00398,3.6e-05
"TCGA-LGG","5. + age + molecular subtype",1.14,0.976,1.34,0.0961,0.82,508,123,0.0119,0.00115
"TCGA-LGG","6. + age spline (sens.)",1.41,1.16,1.71,0.000543,0.741,511,125,0.961,0.0824
"TCGA-GBM","1. unadjusted",0.962,0.845,1.09,0.552,0.523,282,227,0.187,0.187
"TCGA-GBM","2. + age",0.888,0.781,1.01,0.068,0.623,282,227,0.442,0.0772
"TCGA-GBM","4. + age + grade + IDH",0.866,0.761,0.986,0.0299,0.639,265,214,0.404,0.0162
"TCGA-GBM","5. + age + molecular subtype",0.875,0.768,0.996,0.0437,0.64,257,209,0.465,0.00695
"TCGA-GBM","6. + age spline (sens.)",0.901,0.791,1.03,0.114,0.628,282,227,0.399,0.126
"LGG+GBM","1. unadjusted",1.35,1.2,1.51,1.98e-07,0.553,793,352,0.0259,0.0259
"LGG+GBM","2. + age",1.07,0.967,1.18,0.189,0.762,793,352,0.289,9.77e-05
"LGG+GBM","3. + age + grade",0.947,0.861,1.04,0.256,0.82,736,333,0.906,0.00022
"LGG+GBM","4. + age + grade + IDH",0.921,0.84,1.01,0.0775,0.837,717,319,0.563,1.78e-08
"LGG+GBM","5. + age + molecular subtype",0.945,0.863,1.03,0.216,0.831,765,332,0.256,3.56e-08
"LGG+GBM","6. + age spline (sens.)",1.07,0.966,1.19,0.193,0.762,793,352,0.286,0.000236
