"setting","metric","auc_null","auc_real","diff","lo","hi","p_boot","n_genes","fdr"
"glioma: TCGA->CGGA-693","prod",0.930542079845637,0.889517683245906,-0.0410243965997307,-0.0634446314489573,-0.017890025823818,0.002,1652,0.00266666666666667
"glioma: TCGA->CGGA-693","absd",0.579431772709084,0.6307437046113,0.0513119319022168,-0.0193394015415444,0.121342235234416,0.151,1652,0.151
"glioma: TCGA->CGGA-693","coex",0.883674017552226,0.809255784865541,-0.0744182326866855,-0.104778974498838,-0.044317913509181,5e-04,1652,5e-04
"glioma: TCGA->CGGA-693","eff",0.908237267509744,0.766650074664012,-0.141587192845732,-0.17447950716105,-0.111610697394658,5e-04,1652,0.000666666666666667
"glioma: TCGA->CGGA-325","prod",0.856471235629778,0.935286372613562,0.078815136983784,0.0560561308157964,0.1032155531178,5e-04,1759,0.001
"glioma: TCGA->CGGA-325","absd",0.520978630587091,0.789329602808865,0.268350972221775,0.21926779373716,0.319305957407024,5e-04,1759,0.000666666666666667
"glioma: TCGA->CGGA-325","coex",0.750569226290878,0.87273425499232,0.122165028701442,0.082580617202212,0.162468304518524,5e-04,1759,5e-04
"glioma: TCGA->CGGA-325","eff",0.890642757168662,0.731588764538073,-0.159053992630589,-0.194632620155105,-0.12645253064618,5e-04,1759,0.000666666666666667
"glioma: TCGA->array-301","prod",0.829598968828858,0.937595681607009,0.10799671277815,0.0809801075285079,0.134427733840389,5e-04,1688,0.001
"glioma: TCGA->array-301","absd",0.562122614962874,0.779673465775851,0.217550850812976,0.161506303298805,0.272991470802657,5e-04,1688,0.000666666666666667
"glioma: TCGA->array-301","coex",0.790697674418605,0.931289175995162,0.140591501576558,0.107709466495336,0.174898743551493,5e-04,1688,5e-04
"glioma: TCGA->array-301","eff",0.867792240800247,0.714543604265298,-0.153248636534949,-0.195813213821667,-0.111982964840669,5e-04,1688,0.000666666666666667
"breast: BRCA->METABRIC","prod",NA,NA,NA,NA,NA,NA,26,NA
"breast: BRCA->METABRIC","absd",NA,NA,NA,NA,NA,NA,26,NA
"breast: BRCA->METABRIC","coex",NA,NA,NA,NA,NA,NA,26,NA
"breast: BRCA->METABRIC","eff",NA,NA,NA,NA,NA,NA,26,NA
"breast: METABRIC->BRCA","prod",0.722622205380826,0.591672813703795,-0.130949391677031,-0.232603577772232,-0.0335655352711806,0.007,298,0.007
"breast: METABRIC->BRCA","absd",0.631962864721485,0.435374149659864,-0.196588715061622,-0.307285090364548,-0.0827707937833909,5e-04,298,0.000666666666666667
"breast: METABRIC->BRCA","coex",0.710543766578249,0.494549627079748,-0.215994139498502,-0.319425256676536,-0.112170306098243,5e-04,298,5e-04
"breast: METABRIC->BRCA","eff",0.588291019325502,0.563642324399639,-0.0246486949258627,-0.12010609308667,0.0734017532784821,0.641,298,0.641
