"rep","arm","n_disc","n_repl","n_prog","replic_rate","auc_anchor","auc_effsize"
1,"null (held-out TCGA)",332,403,1599,0.944965603502189,0.953590337524818,0.90477408098189
1,"real (CGGA-693)",332,403,1599,0.832395247029393,0.882982719759579,0.778084595803851
2,"null (held-out TCGA)",332,403,1676,0.940930787589499,0.905965168488948,0.923938176950225
2,"real (CGGA-693)",332,403,1676,0.837112171837709,0.875209845986753,0.778930026969941
3,"null (held-out TCGA)",332,403,1606,0.961394769613948,0.928537105131205,0.892528831689788
3,"real (CGGA-693)",332,403,1606,0.834371108343711,0.879323308270677,0.717570979688026
4,"null (held-out TCGA)",332,403,1591,0.963544940289126,0.964516274152552,0.901399104752907
4,"real (CGGA-693)",332,403,1591,0.847265870521684,0.883412096567388,0.770512022078128
5,"null (held-out TCGA)",332,403,1691,0.916617386162034,0.915868222374743,0.888277282086479
5,"real (CGGA-693)",332,403,1691,0.827912477823773,0.889754540991654,0.763284241531664
6,"null (held-out TCGA)",332,403,1511,0.969556585043018,0.968941979522184,0.871716871939457
6,"real (CGGA-693)",332,403,1511,0.875579086697551,0.88588153937698,0.777838085588845
7,"null (held-out TCGA)",332,403,1548,0.972222222222222,0.927482036622112,0.901274820366221
7,"real (CGGA-693)",332,403,1548,0.85077519379845,0.885845109079733,0.744924020550444
8,"null (held-out TCGA)",332,403,1616,0.966584158415842,0.934343434343434,0.918634703845971
8,"real (CGGA-693)",332,403,1616,0.839727722772277,0.877836358307987,0.746468333793315
9,"null (held-out TCGA)",332,403,1617,0.957946815089672,0.892739148596818,0.871359131128242
9,"real (CGGA-693)",332,403,1617,0.849721706864564,0.883554669014802,0.732495312715271
10,"null (held-out TCGA)",332,403,1589,0.965387035871617,0.96748844375963,0.865200900794121
10,"real (CGGA-693)",332,403,1589,0.858401510383889,0.867272727272727,0.786634082763115
