"gene","beta_T","p_BH","beta_R","p_R","r_grade_T","r_grade_R","r_idh_T","r_idh_R","replicated","qc_flag"
"A2M",0.424131473139066,1.97458486317317e-13,0.0786102593020385,0.260829395670165,0.397010490194457,0.146236019510091,-0.337828676862605,-0.15023286390359,0,1
"A2ML1",-0.117799681821474,0.0437273121944637,-0.339390279308303,1.4574876085589e-05,-0.254682116058802,-0.329850362284537,0.101964517040571,0.374639400668298,1,1
"AADAT",-0.32442788687187,7.21223695377822e-11,0.032457806118503,0.658331105977123,-0.467140448313057,-0.0764215548930372,0.466989187138071,0.162369756063149,0,0
"AASDHPPT",-0.292029840006026,6.80611494565791e-11,0.0142116662675647,0.840898013154987,-0.45549156143787,-0.114195607403577,0.438373207041529,0.113421484219083,0,1
"AATF",-0.275472162316161,2.91962492700083e-10,-0.173053814256476,0.0141607644784998,-0.435986144122354,0.0382017480206731,0.465066648391118,0.0902866945847852,1,0
"AATK",-0.395593979667185,9.14328250266032e-12,-0.21759567197873,0.00205493651777081,-0.599558207305845,-0.349618038466208,0.569643241505578,0.308501301001812,1,1
"ABAT",-0.398019860297756,2.40722982080606e-17,-0.195319597932093,0.00336830769513258,-0.58228449351889,-0.268008571354067,0.526225489670507,0.404832424215174,1,1
"ABCA1",0.367183331983715,2.67997210516876e-11,0.246061861071727,0.000532109357896777,0.30807089745612,0.0730571705134777,-0.2142604695538,-0.0126340175043549,1,0
"ABCA13",0.312165818709151,8.11502897473091e-15,0.2474752183361,1.2254151560567e-07,0.535520011338228,0.283884908250278,-0.561263863183159,-0.314191323175798,1,1
"ABCA2",-0.27134912752219,3.40561208463791e-07,-0.0667119702109428,0.346456700882197,-0.534815108957061,-0.166401944854888,0.420281500334054,0.0615343125658744,0,1
"ABCA3",-0.289131262712735,1.13861717524317e-11,-0.250337961066909,5.41093216555045e-05,-0.545068849316688,-0.251788701875557,0.606089613974517,0.368589820314368,1,1
"ABCA5",0.321825071455673,8.79793206124494e-10,0.31949441800054,2.00023946467406e-06,0.274126870156565,0.126109244567262,-0.515292186896157,-0.423063097105537,1,1
"ABCA6",0.334155792996722,6.77230956676989e-13,0.158681089894699,0.0059458834404907,0.149183153301705,0.0527815087413312,-0.173186022227559,-0.233530852472001,1,0
"ABCA7",0.13440243634203,0.00856021717562309,-0.0775551175286685,0.26771043350088,0.0550466008265083,0.000601871735212674,-0.151523869307825,-0.0722247190950533,0,0
"ABCB1",-0.282257295303177,4.99617739385551e-08,-0.120510758098312,0.0833600210594549,-0.374991362752489,-0.185986515405559,0.336472967787809,0.140965068923113,0,1
"ABCC1",0.220038834811612,9.32223657777742e-05,0.394288158984233,1.08025575820445e-08,0.255378305002331,0.188460992815414,-0.18677230298688,-0.168627582201577,1,1
"ABCC3",0.624257811868795,1.58339784462901e-30,0.428888370089093,8.75276710554483e-12,0.669103968310868,0.429356304858615,-0.713973702907447,-0.555641638384817,1,1
"ABCC5",-0.112009505159127,0.0458472848662175,-0.0483633901751035,0.500094979573492,-0.249885173325759,-0.121707627877201,0.303380812471341,0.161800333650654,0,1
"ABCC8",-0.659324196616787,1.73206088716728e-21,-0.627713205836705,2.20727223598518e-18,-0.578167821446174,-0.423698189594613,0.63911750046862,0.439511331638962,1,1
"ABCD1",0.202553630364904,0.000221731422065825,0.220516849464181,0.00217939472296882,0.171440982972672,0.216720968135076,-0.199639848410954,-0.16537985011167,1,1
"ABCD2",0.184617917749881,0.000942212718854858,0.098950744158386,0.154999142680617,0.161201940552177,-0.0257896015342073,-0.385710918926748,-0.11046334798368,0,0
"ABCF1",-0.216703216950121,5.09244752420337e-07,-0.0978416654751482,0.142696284226937,-0.305437596495635,0.0759339668196665,0.351677946290481,0.117190260975974,0,0
"ABCG1",-0.238701382953691,3.29527874264709e-06,-0.272149757795277,0.00017959176186046,-0.311941414633464,-0.193554843482757,0.436164339039956,0.274772000314179,1,1
"ABCG2",-0.319789139820247,7.82531733916432e-10,-0.231320227770136,0.00155960776669771,-0.277089274367076,-0.189174270741823,0.302650365766814,0.23630094965791,1,1
"ABCG4",-0.256934417419573,7.48924930004225e-05,-0.162090129938439,0.0279064770589916,-0.299319672859755,-0.163916105556141,0.19695766475964,0.021831760644633,1,1
"ABHD13",-0.161577335653915,0.00185881996207265,0.094929463407461,0.19674506629702,-0.108737081099883,-0.0171356205470829,0.0864089233587018,0.0263349725266994,0,0
"ABHD14A",-0.41726404837294,4.55630329598239e-17,-0.31746332143137,3.69397862881121e-07,-0.463783018222459,-0.23818893783055,0.410306525531759,0.210795451579143,1,1
"ABHD14B",-0.102034590192337,0.0480567914683195,-0.0771777496085619,0.264164745144424,-0.0827271814318684,0.0514843024013328,-0.0543919834058833,-0.0726039720298958,0,0
"ABHD15",0.311493868379444,1.22690243673832e-08,0.471224389941071,2.49293968105752e-10,0.241319383595146,0.189006289562122,-0.344408547445114,-0.308551146518105,1,1
"ABHD4",-0.326762672431136,7.35086341378851e-11,-0.170950494860062,0.00812633034065253,-0.374978190265322,-0.0921472913958742,0.34478253168392,0.226179063733332,1,0
"ABHD6",-0.41700319056904,1.16106995854014e-16,-0.203311557878066,0.00280725615781592,-0.604066731034951,-0.325052200946193,0.754089798561056,0.451860787695766,1,1
"ABHD8",-0.12191068754438,0.024649673709938,-0.174399312805187,0.00896567092705816,-0.276412724421144,-0.103114248536775,0.00466317173141146,-0.0587373328595962,1,1
"ABI1",-0.432682619435558,1.41417962923294e-17,-0.137144694728039,0.0497330898901107,-0.632532111405765,-0.239630849292027,0.755737691224331,0.381223819721127,1,1
"ABI2",-0.269547850262701,7.51289603742363e-09,-0.0548589273791433,0.4403490080346,-0.481711333893345,-0.142661791902442,0.386721862182814,0.175998798434252,0,1
"ABI3",0.389068814463789,3.03967141754774e-12,0.285559686151168,2.94614260273349e-05,0.296067661018998,0.212046881673833,-0.336087291930324,-0.219044664415556,1,1
"ABI3BP",-0.267089108822636,8.42497281545417e-06,-0.099551802177326,0.17115176396559,-0.446855411971651,-0.204513953895249,0.523046589030275,0.300846317384818,0,1
"ABL1",-0.204736880437575,9.01233012018077e-06,0.211680178042417,0.00461191677967156,-0.306973198049089,-0.0153636841935524,0.404001304289301,0.166422487535689,0,0
"ABLIM1",-0.399192420622417,7.48812891171901e-18,-0.407483245006893,2.74934576298484e-09,-0.642576166378956,-0.417299706456614,0.660767928196844,0.407179116216172,1,1
"ABLIM2",-0.31114651889763,4.47827292423874e-07,-0.268118715731402,0.000173435883539379,-0.400848262388545,-0.195878262858545,0.255597912508141,0.105006875551733,1,1
"ABLIM3",-0.461962146718535,1.34930240831852e-15,-0.410023098903429,1.63807683914455e-08,-0.643121141007151,-0.406323945620215,0.614288151775968,0.338842420625937,1,1
"ABR",-0.248847733222211,4.47827292423874e-07,-0.14502062403037,0.0302394763546872,-0.563109373518654,-0.266197505952662,0.424699241974338,0.136295220231692,1,1
"ABTB1",-0.112867185325175,0.0355434474849707,-0.0378675660931742,0.589390581197052,-0.339871255026446,-0.0145983613982069,0.140701566012769,-0.178700849530525,0,0
"ABTB2",-0.28845077796711,2.5170029828246e-07,-0.212830197212663,0.00366985687920633,-0.362755792337851,-0.228402926062179,0.313607068371614,0.125013160762018,1,1
"ACAA1",-0.21943012114679,8.41502560212396e-06,0.0535149112393603,0.472397170935294,-0.330857812902403,0.0110237169272212,0.155158566180999,-0.00438515032981621,0,0
"ACAA2",0.487857512806901,2.2897519243374e-16,0.344299271902546,3.12606104621818e-05,0.438926997273195,0.207375664698398,-0.678713551533678,-0.396678815670134,1,1
"ACACA",-0.209823800436755,1.36799820231998e-05,-0.160463243227762,0.0176696040387456,-0.263487477709539,-0.14938002925613,0.384892818622991,0.30658187256914,1,1
"ACACB",0.242713432514986,5.36149599308636e-06,0.27834403765377,6.28003632221346e-05,0.104425350330217,0.0416993264192306,-0.375198354392856,-0.344863954093853,1,0
"ACADL",0.240704004669793,1.50474632562964e-07,0.368759409968043,5.0285111755473e-12,0.107025573460042,0.0997443707834353,-0.314472184845275,-0.267590628352727,1,0
"ACADS",0.427517391155525,7.12501814516476e-12,0.196723504076862,0.0080358372798268,0.332788473548159,0.162396186882972,-0.56450090040558,-0.326066165815762,1,1
"ACADSB",-0.457363412814305,3.34567416358664e-19,-0.223294923808816,0.00185701144948184,-0.659685959391651,-0.324248844657615,0.627260881258522,0.312484910539315,1,1
"ACAP3",-0.282741672378574,3.14540235445416e-07,-0.0711320813733733,0.312241648339811,-0.372102447510062,-0.127574367078618,0.422046259560728,0.210273839280382,0,1
"ACAT2",-0.303920756826861,1.05149789898999e-07,-0.210916919142718,0.00095572649018744,-0.15755202679025,-0.140020444023994,0.169960339209295,0.192235775945291,1,1
"ACBD4",-0.37365728932101,4.81106467194207e-12,-0.306241649365221,3.32142622711386e-06,-0.517474797034477,-0.259513278678323,0.413444519224089,0.210700716235083,1,1
"ACBD5",-0.471640072233028,5.27669505255301e-21,-0.14502773745804,0.0396090418768723,-0.660509113394432,-0.264598687547922,0.723820096724587,0.341354578971134,1,1
"ACBD7",-0.441881603634899,6.8429374943706e-13,-0.260725351527911,0.000432170131998128,-0.556354657872154,-0.309708281830261,0.445537425425733,0.269890905760407,1,1
"ACCS",0.481505228630716,2.67011131363399e-17,0.272829047982186,0.000191886996483485,0.413374209308322,0.11963954032633,-0.573575973988034,-0.339055553529154,1,1
"ACD",-0.300828967387612,6.44138896475742e-11,-0.147279611460412,0.027884367868606,-0.416801291544152,-0.0144450812165107,0.448587770844025,0.100905918498511,1,0
"ACHE",-0.201435908391033,0.000296739945201424,-0.123949303887742,0.0801127593722492,-0.22879133037394,0.00136109120464416,0.126811391479488,-0.0597091805383855,0,0
"ACIN1",-0.237701871020317,5.90113944298908e-07,0.125524198479988,0.0947960277256525,-0.370178713740624,-0.00215359230443606,0.416413057316635,0.104603607416925,0,0
"ACO2",-0.303676980925839,3.81890748243863e-11,-0.245996194471328,7.12602765623936e-05,-0.587498562509184,-0.310448164238848,0.546993550238723,0.336139550416885,1,1
"ACOT1",0.128514157920092,0.0173739699478436,-0.0155272087399448,0.822421753154545,0.151687729778305,-0.138902984459925,-0.237184814941897,0.0738606111730358,0,0
"ACOT11",0.431539407653278,3.49222991759936e-20,0.185136031469429,0.0111101498477051,0.41980584286443,0.0453315755725147,-0.542821266894841,-0.218526033189072,1,0
"ACOT2",0.113361922306517,0.0333486755124785,-0.107808207596333,0.108719988061935,0.0463680969438587,-0.101342760041737,-0.10808273937943,0.0914956765296667,0,0
"ACOT7",-0.199054787719758,0.000138378516701594,-0.188800210821821,0.00490787289542138,-0.3449438930537,-0.0351879085072595,0.34701477455907,0.0256235027718119,1,0
"ACOT9",0.524493697322785,2.53352020495475e-15,0.361103064847774,4.7653497253794e-06,0.425752411200352,0.33299060839296,-0.496686228357312,-0.38883288018175,1,1
"ACOX2",0.14947145196512,0.00561992282889978,0.127973651550872,0.0720913969604643,-0.00949492186703198,0.042874722854213,-0.182629209224985,-0.0950750486196504,0,0
"ACP5",0.332807684654504,2.09715845384427e-10,0.149761877499018,0.0131513221590262,0.436642660367292,0.303448719667206,-0.388995014868613,-0.232770223064841,1,1
"ACSBG1",-0.172551863553259,0.00140377958238508,-0.130435495242708,0.0592365844551936,-0.257394216447933,-0.159345939794181,0.143132493575089,0.163103984558279,0,1
"ACSF2",0.151421729699943,0.00575831454785482,0.0411227346927986,0.548263421761274,0.0489661777304859,0.0324113628148751,-0.268956321927291,-0.181782336462437,0,0
"ACSL1",0.297808267569315,3.43596364901604e-08,0.302927817729694,1.86398971100904e-05,0.215434036290436,0.12146038278063,-0.297157404618716,-0.215133460950712,1,1
"ACSL6",-0.534426046305281,9.53219451630051e-19,-0.485197489406907,5.45330631455551e-11,-0.601925829337952,-0.424890703857398,0.512317784506648,0.409739621795461,1,1
"ACSS1",-0.232866683856912,9.08740102054658e-06,-0.114989077454385,0.0922778221483408,-0.511778671669374,-0.213691242972507,0.34620836140251,0.110766574297688,0,1
"ACSS3",0.39295094964542,2.02806478622866e-13,0.489515118266759,1.53525945727182e-12,0.395331135143614,0.233791214248783,-0.65265704804246,-0.487301082896393,1,1
"ACTA2",0.300638147323597,2.99790090389486e-08,0.212126667211878,0.00238618663612234,0.443909420517823,0.294633852849254,-0.374526319059678,-0.294919310547028,1,1
"ACTG2",0.281962568913105,7.60088114565817e-09,0.272918680018695,3.18410917384455e-06,0.437568286881298,0.326695757388137,-0.381445144885173,-0.328065060516118,1,1
"ACTL6A",0.198701576248387,0.000440509983032073,0.474266925177019,2.02119704595897e-08,0.344886991958109,0.197394417588325,-0.268816072667155,-0.0918274721957231,1,1
"ACTL6B",-0.494188971454481,1.76525672788395e-16,-0.590376723563344,2.84165424779643e-16,-0.504167044520162,-0.32170743437305,0.569666634300081,0.406350122170661,1,1
"ACTN1",0.40517338535421,8.42914674456542e-13,0.49277055125797,1.11337045851717e-11,0.498277542444194,0.3331714616815,-0.564021723704052,-0.451670652800486,1,1
"ACTN4",0.19791134138641,0.000422205366785754,0.541897457914225,4.70063772872402e-11,0.193486817528193,0.244840061607894,-0.298442990810333,-0.314427113615571,1,1
"ACTR1A",-0.325390192718601,7.99781313706801e-14,-0.209404526881281,0.00101944895930515,-0.593952529742804,-0.205984106553887,0.668376265362926,0.248436636683385,1,1
"ACTR2",-0.142695723577488,0.00323768878862554,0.176768555395775,0.0143386387585936,-0.263549679356122,-0.0261894871971953,0.155579303480073,0.00725327684260888,0,0
"ACTR3B",-0.207054691144992,5.56582722802463e-05,-0.0527520012628329,0.456031938868169,-0.271856723665097,-0.0661733180114217,0.183838826595304,0.0510574591926612,0,0
"ACTR6",-0.34363022071804,2.82289173742728e-15,-0.0454363289509263,0.514135704396405,-0.497150274903315,-0.129764170410755,0.450446027248271,0.20048451437056,0,1
"ACVR1B",-0.195275685969632,4.01951313553622e-05,0.107810879337776,0.123081283066819,-0.423840040089358,-0.058294028100416,0.36669593043801,0.0251257986647488,0,0
"ACVR1C",-0.401456595140252,7.55500890192437e-09,-0.3482137323041,6.28344373165169e-05,-0.44660090312098,-0.31055882394843,0.404486386577096,0.271060378361473,1,1
"ACVR2B",-0.337929268112204,7.18248360206027e-10,-0.110310117378538,0.128294398625187,-0.377641798333099,-0.247856692365814,0.600783653014964,0.378907409441528,0,1
"ACVRL1",0.253741806231662,4.21073693776154e-06,0.16668163188468,0.0174553473269067,0.384793388952767,0.275741413358376,-0.351274744275306,-0.345551229883119,1,1
"ACY3",-0.245424532001461,6.36634507601361e-05,-0.263258625177199,0.000319005165224545,-0.409065971685607,-0.282628706293542,0.223773862601954,0.234525711186105,1,1
"ADAM11",-0.265849129501635,2.11620250348931e-05,-0.368801289399035,1.1709078730243e-06,-0.348756570806123,-0.305470920531249,0.287381109721945,0.212337019779554,1,1
"ADAM12",0.592334212140255,4.9246536395524e-27,0.480441642876971,4.41360996464147e-19,0.697266005640788,0.470471732758171,-0.771608877313489,-0.629095307014843,1,1
"ADAM19",0.34253865554497,1.65521055874931e-12,0.393646772561633,8.0059926611152e-12,0.478627751402691,0.341725183669849,-0.563530867181968,-0.417402110375415,1,1
"ADAM20",0.30158546493459,1.42358388929623e-11,-0.23534043440494,0.00594751046201922,0.321557185400572,-0.113756004896126,-0.106972752883224,0.19131532304499,0,0
"ADAM22",-0.480351526447508,4.16609525989305e-20,-0.353411016571016,2.06849705283508e-06,-0.572003299193621,-0.359252107510411,0.671333113622851,0.485519959372348,1,1
"ADAM23",-0.123199700909361,0.0164461359233496,0.180793777974248,0.0149378848019895,-0.141674736241942,0.0743119299069184,0.149466925496294,-0.116313478739883,0,0
"ADAM28",0.300940418609855,8.0914579307275e-08,0.148940456554668,0.0297061944307932,0.0983325789967242,-0.0339394765117711,-0.136219545918548,-0.0290842986866927,1,0
"ADAM33",0.319319529138045,7.21223695377822e-11,0.288254184394114,9.53298466992681e-06,0.440313910369178,0.165366905437139,-0.6529550915009,-0.369421731989971,1,1
"ADAM8",0.228800780041612,2.63158283287493e-05,-0.0605095407415795,0.401984683514876,0.296418487248523,0.117754022062816,-0.0995744947610927,0.0750456900876458,0,1
"ADAM9",0.363042950347441,5.71125829147554e-11,0.354031784933446,2.02741062979441e-06,0.433413690932776,0.136326694916654,-0.409470889177273,-0.0929890047131124,1,1
"ADAMDEC1",0.393009971329747,2.37750494955876e-16,0.255226828826583,5.99900670470234e-06,0.596338689721141,0.393341343546651,-0.485217834580205,-0.2649818102696,1,1
