"setting","anchor","rep","arm","n_disc","n_repl","n_prog","replic_rate","auc_anchor_product","auc_anchor_absdiff","auc_level_concord","auc_range_concord","auc_coexpr_preserv","auc_effsize"
"glioma: TCGA->CGGA-693","grade",1,"null",368,367,1652,0.927966101694915,0.930542079845637,0.579431772709084,0.558628931024465,0.496330038864861,0.882742137951071,0.908237267509744
"glioma: TCGA->CGGA-693","grade",1,"real",368,367,1652,0.826271186440678,0.889517683245906,0.6307437046113,0.584908935431584,0.560429349976388,0.809031154675754,0.766650074664012
"glioma: TCGA->CGGA-693","grade",1,"null_ratematched",368,367,1652,0.826271186440678,0.926369797449937,0.541228573981187,0.580339753162053,0.512779670967824,0.876749499049151,0.867235899988513
"glioma: TCGA->CGGA-693","grade",2,"null",368,367,1728,0.894097222222222,0.907319574866925,0.544962597485278,0.540672361044795,0.553005464480874,0.877913947689533,0.916954038233682
"glioma: TCGA->CGGA-693","grade",2,"real",368,367,1728,0.825231481481482,0.870988640480016,0.661406425605826,0.583659195824006,0.552534296833638,0.775192034403648,0.782789816371455
"glioma: TCGA->CGGA-693","grade",2,"null_ratematched",368,367,1728,0.825231481481482,0.894861744517615,0.561109666273464,0.552508754168099,0.56000668753425,0.848160463669041,0.905322627086371
"glioma: TCGA->CGGA-693","grade",3,"null",368,367,1641,0.962218159658745,0.918343582095651,0.575476516374185,0.542534066068765,0.585047702710985,0.853735520643936,0.889119287421602
"glioma: TCGA->CGGA-693","grade",3,"real",368,367,1641,0.826325411334552,0.851433524814987,0.682714899342752,0.602807535061843,0.526815194328003,0.761641567044455,0.751148889923925
"glioma: TCGA->CGGA-693","grade",3,"null_ratematched",368,367,1641,0.826325411334552,0.906440511307768,0.58969362935362,0.518454691300523,0.56028566992703,0.790700201832014,0.893049733478238
"glioma: TCGA->CGGA-693","grade",4,"null",368,367,1639,0.945698596705308,0.882551649148242,0.627944907575208,0.294686480608916,0.507741935483871,0.873809351214208,0.865639724537876
"glioma: TCGA->CGGA-693","grade",4,"real",368,367,1639,0.832214765100671,0.87475606504932,0.711823513729672,0.568397760597174,0.562807251399627,0.788179152226073,0.754380165289256
"glioma: TCGA->CGGA-693","grade",4,"null_ratematched",368,367,1639,0.832214765100671,0.896296987470008,0.683241802186084,0.376854172220741,0.506424953345774,0.822889896027726,0.873191149026926
"glioma: TCGA->CGGA-693","grade",5,"null",368,367,1724,0.900812064965197,0.920440724046648,0.590846616433765,0.355697141544568,0.524395341218468,0.888892654473703,0.895358163599598
"glioma: TCGA->CGGA-693","grade",5,"real",368,367,1724,0.824825986078886,0.882238429224765,0.596985870101806,0.581836048471978,0.547861886532353,0.791679473924423,0.804475088719367
"glioma: TCGA->CGGA-693","grade",5,"null_ratematched",368,367,1724,0.824825986078886,0.909683218300873,0.61122521213476,0.382115013831838,0.5410996544369,0.856658842596474,0.892952282486191
"glioma: TCGA->CGGA-693","grade",6,"null",368,367,1633,0.908756889161053,0.973959369742579,0.584607174514734,0.454413068253767,0.492298160241683,0.931149261021364,0.846374753523038
"glioma: TCGA->CGGA-693","grade",6,"real",368,367,1633,0.853643600734844,0.890045802993103,0.609888163858257,0.574014155105863,0.588217285077109,0.814395826705006,0.821128206359592
"glioma: TCGA->CGGA-693","grade",6,"null_ratematched",368,367,1633,0.853643600734844,0.964897378483999,0.568191231998463,0.481540733448191,0.486901424515107,0.87505027523817,0.814182719725302
"glioma: TCGA->CGGA-693","grade",7,"null",368,367,1524,0.967847769028871,0.94674507090972,0.64694569353165,0.611885160843999,0.644579730197164,0.939923901764095,0.871919750951228
"glioma: TCGA->CGGA-693","grade",7,"real",368,367,1524,0.83005249343832,0.843310391136478,0.697758176019046,0.586051551268943,0.509432752911014,0.740516123124819,0.723164497077541
"glioma: TCGA->CGGA-693","grade",7,"null_ratematched",368,367,1524,0.83005249343832,0.93001053001053,0.626404382926122,0.448169456865109,0.542551925160621,0.876957590001068,0.8609214522258
"glioma: TCGA->CGGA-693","grade",8,"null",368,367,1656,0.931763285024155,0.96945956331477,0.698409603175058,0.530290951427801,0.510045366169799,0.937020744555773,0.889790604442558
"glioma: TCGA->CGGA-693","grade",8,"real",368,367,1656,0.853260869565217,0.885798828631258,0.641704455103842,0.622057380176433,0.571902877163552,0.834764779720351,0.777189472243337
"glioma: TCGA->CGGA-693","grade",8,"null_ratematched",368,367,1656,0.853260869565217,0.942934363159259,0.626233766990235,0.507343625767782,0.473454897061094,0.845127111856686,0.8398469240649
"glioma: TCGA->CGGA-325","grade",1,"null",513,222,1715,0.893877551020408,0.891091947843415,0.587324286932898,0.422693418779524,0.583292115581744,0.74029590761489,0.911704407790513
"glioma: TCGA->CGGA-325","grade",1,"real",513,222,1715,0.864723032069971,0.941768200525496,0.803305275885321,0.576435231473946,0.718667891273514,0.879755039877229,0.719740391099123
"glioma: TCGA->CGGA-325","grade",1,"null_ratematched",513,222,1715,0.864723032069971,0.88482107563885,0.581870393191806,0.45183342246611,0.598786244099798,0.706161206315251,0.904785848815309
"glioma: TCGA->CGGA-325","grade",2,"null",513,222,1721,0.914003486345148,0.959876118967028,0.491456332365423,0.558774763320218,0.502796343705435,0.893889280252917,0.923326059689696
