"setting","metric","universe","n_genes","auc_null","auc_real","diff","lo","hi","p_boot","fdr"
"glioma: TCGA->CGGA-693","prod",8000,5495,0.899794990651248,0.824415260619348,-0.0753797300319003,-0.0927016954575203,-0.0580406796069234,5e-04,5e-04
"glioma: TCGA->CGGA-693","absd",8000,5495,0.530234224926205,0.668666067886881,0.138431842960676,0.102016996201971,0.176011536862304,5e-04,0.000666666666666667
"glioma: TCGA->CGGA-693","coex",8000,5495,0.854805793782934,0.883387636773166,0.0285818429902313,0.00926228011965452,0.0484220579279549,0.006,0.006
"glioma: TCGA->CGGA-693","eff",8000,5495,0.819955949750603,0.785044151833191,-0.0349117979174122,-0.0561437252735045,-0.0126766013213321,0.002,0.00266666666666667
"glioma: TCGA->CGGA-325","prod",8000,6037,0.893199981383924,0.936719844554464,0.0435198631705396,0.0319345595851633,0.0553921177005061,5e-04,5e-04
"glioma: TCGA->CGGA-325","absd",8000,6037,0.611071775363612,0.795784743173203,0.184712967809591,0.159465444339254,0.210284563469635,5e-04,0.000666666666666667
"glioma: TCGA->CGGA-325","coex",8000,6037,0.90948272161602,0.946182032868329,0.0366993112523091,0.0263872978128746,0.0467355865651174,5e-04,0.000666666666666667
"glioma: TCGA->CGGA-325","eff",8000,6037,0.843885003260072,0.767020926269737,-0.0768640769903355,-0.0934066499125605,-0.060338483098011,5e-04,0.001
"glioma: TCGA->array-301","prod",8000,6381,0.792522079650793,0.924452947233565,0.131930867582772,0.119914407014721,0.144399665949571,5e-04,5e-04
"glioma: TCGA->array-301","absd",8000,6381,0.612600761115613,0.760175290026251,0.147574528910639,0.129069886558499,0.167064292976483,5e-04,0.000666666666666667
"glioma: TCGA->array-301","coex",8000,6381,0.753078946148253,0.916583638759461,0.163504692611208,0.150204094885877,0.176942388879854,5e-04,0.000666666666666667
"glioma: TCGA->array-301","eff",8000,6381,0.768464268464269,0.732730595298095,-0.0357336731661737,-0.0513012405729709,-0.0195096683999592,5e-04,0.001
"breast: METABRIC->BRCA","prod",8000,1021,0.716405496999658,0.566428722026445,-0.149976774973213,-0.206965515863951,-0.0937476304588253,5e-04,5e-04
"breast: METABRIC->BRCA","absd",8000,1021,0.544464913098902,0.48719165085389,-0.0572732622450125,-0.118143619129081,0.0038697384062063,0.068,0.068
"breast: METABRIC->BRCA","coex",8000,1021,0.707727046606349,0.513011656275413,-0.194715390330936,-0.252560427046598,-0.14025236840565,5e-04,0.000666666666666667
"breast: METABRIC->BRCA","eff",8000,1021,0.633647358766284,0.565502545104063,-0.068144813662221,-0.125383358709423,-0.0113861722242724,0.015,0.015
"breast: BRCA->METABRIC","prod",8000,0,NA,NA,NA,NA,NA,NA,NA
"breast: BRCA->METABRIC","absd",8000,0,NA,NA,NA,NA,NA,NA,NA
"breast: BRCA->METABRIC","coex",8000,0,NA,NA,NA,NA,NA,NA,NA
"breast: BRCA->METABRIC","eff",8000,0,NA,NA,NA,NA,NA,NA,NA
