"cohort","gene","HR","p","p_BH","n","events"
"TCGA-LGG","RB1",2.1,1.59e-06,1.59e-05,511,125
"TCGA-LGG","IDH1",1.69,0.000173,0.000867,511,125
"TCGA-LGG","EGFR",1.22,0.00106,0.00354,511,125
"TCGA-LGG","TP53",1.47,0.00208,0.0052,511,125
"TCGA-LGG","PIK3R1",0.727,0.00626,0.0125,511,125
"TCGA-LGG","PTEN",0.584,0.017,0.0283,511,125
"TCGA-LGG","CDKN2A",0.868,0.061,0.0872,511,125
"TCGA-LGG","PIK3CA",1.2,0.169,0.212,511,125
"TCGA-LGG","PDGFRA",0.928,0.198,0.22,511,125
"TCGA-LGG","NF1",0.84,0.222,0.222,511,125
"TCGA-GBM","EGFR",0.952,0.068,0.68,282,227
"TCGA-GBM","CDKN2A",0.969,0.274,0.912,282,227
"TCGA-GBM","TP53",0.932,0.238,0.912,282,227
"TCGA-GBM","PDGFRA",1,0.962,0.97,282,227
"TCGA-GBM","PTEN",0.994,0.936,0.97,282,227
"TCGA-GBM","NF1",1.01,0.941,0.97,282,227
"TCGA-GBM","PIK3CA",0.978,0.763,0.97,282,227
"TCGA-GBM","PIK3R1",1.03,0.705,0.97,282,227
"TCGA-GBM","RB1",0.998,0.97,0.97,282,227
"TCGA-GBM","IDH1",1.04,0.606,0.97,282,227
"LGG+GBM","PIK3R1",0.711,7.97e-12,7.97e-11,793,352
"LGG+GBM","PTEN",0.7,4.58e-08,2.29e-07,793,352
"LGG+GBM","IDH1",1.46,1.72e-07,5.75e-07,793,352
"LGG+GBM","NF1",0.772,5.59e-05,0.00014,793,352
"LGG+GBM","PDGFRA",0.893,0.000165,0.00033,793,352
"LGG+GBM","CDKN2A",0.938,0.0366,0.061,793,352
"LGG+GBM","EGFR",1.04,0.189,0.27,793,352
"LGG+GBM","PIK3CA",0.954,0.497,0.621,793,352
"LGG+GBM","TP53",0.973,0.631,0.701,793,352
"LGG+GBM","RB1",0.998,0.976,0.976,793,352
