"cohort","gene","HR","CI_low","CI_high","p","n","events","p_BH","adjustment"
"TCGA-LGG","RB1",1.64,1.34,2,1.59e-06,511,125,1.59e-05,"age"
"TCGA-LGG","IDH1",1.46,1.2,1.78,0.000173,511,125,0.000867,"age"
"TCGA-LGG","EGFR",1.37,1.14,1.66,0.00106,511,125,0.00354,"age"
"TCGA-LGG","TP53",1.39,1.13,1.71,0.00208,511,125,0.0052,"age"
"TCGA-LGG","PIK3R1",0.777,0.649,0.931,0.00626,511,125,0.0125,"age"
"TCGA-LGG","PTEN",0.8,0.666,0.961,0.017,511,125,0.0283,"age"
"TCGA-LGG","CDKN2A",0.834,0.691,1.01,0.061,511,125,0.0872,"age"
"TCGA-LGG","PIK3CA",1.13,0.95,1.34,0.169,511,125,0.212,"age"
"TCGA-LGG","PDGFRA",0.893,0.752,1.06,0.198,511,125,0.22,"age"
"TCGA-LGG","NF1",0.895,0.75,1.07,0.222,511,125,0.222,"age"
"TCGA-GBM","EGFR",0.888,0.781,1.01,0.068,282,227,0.68,"age"
"TCGA-GBM","CDKN2A",0.929,0.813,1.06,0.274,282,227,0.912,"age"
"TCGA-GBM","TP53",0.93,0.825,1.05,0.238,282,227,0.912,"age"
"TCGA-GBM","PDGFRA",1,0.876,1.15,0.962,282,227,0.97,"age"
"TCGA-GBM","PTEN",0.995,0.875,1.13,0.936,282,227,0.97,"age"
"TCGA-GBM","NF1",1,0.882,1.14,0.941,282,227,0.97,"age"
"TCGA-GBM","PIK3CA",0.981,0.863,1.11,0.763,282,227,0.97,"age"
"TCGA-GBM","PIK3R1",1.03,0.9,1.17,0.705,282,227,0.97,"age"
"TCGA-GBM","RB1",0.998,0.888,1.12,0.97,282,227,0.97,"age"
"TCGA-GBM","IDH1",1.03,0.909,1.18,0.606,282,227,0.97,"age"
"LGG+GBM","PIK3R1",0.713,0.647,0.786,7.97e-12,793,352,7.97e-11,"age"
"LGG+GBM","PTEN",0.783,0.717,0.855,4.58e-08,793,352,2.29e-07,"age"
"LGG+GBM","IDH1",1.34,1.2,1.5,1.72e-07,793,352,5.75e-07,"age"
"LGG+GBM","NF1",0.813,0.735,0.899,5.59e-05,793,352,0.00014,"age"
"LGG+GBM","PDGFRA",0.817,0.735,0.907,0.000165,793,352,0.00033,"age"
"LGG+GBM","CDKN2A",0.894,0.805,0.993,0.0366,793,352,0.061,"age"
"LGG+GBM","EGFR",1.07,0.967,1.18,0.189,793,352,0.27,"age"
"LGG+GBM","PIK3CA",0.966,0.874,1.07,0.497,793,352,0.621,"age"
"LGG+GBM","TP53",0.975,0.879,1.08,0.631,793,352,0.701,"age"
"LGG+GBM","RB1",0.998,0.904,1.1,0.976,793,352,0.976,"age"
"TCGA-LGG","TP53",1.39,1.12,1.72,0.00262,508,123,0.0262,"age+IDH"
"TCGA-LGG","RB1",1.33,1.08,1.62,0.00622,508,123,0.0311,"age+IDH"
"TCGA-LGG","IDH1",1.26,1.06,1.5,0.00982,508,123,0.0327,"age+IDH"
"TCGA-LGG","PIK3CA",1.23,1.03,1.47,0.0228,508,123,0.0456,"age+IDH"
"TCGA-LGG","CDKN2A",0.82,0.694,0.969,0.0196,508,123,0.0456,"age+IDH"
"TCGA-LGG","NF1",1.22,0.999,1.48,0.0509,508,123,0.0848,"age+IDH"
"TCGA-LGG","EGFR",1.13,0.967,1.32,0.125,508,123,0.178,"age+IDH"
"TCGA-LGG","PTEN",0.927,0.777,1.11,0.405,508,123,0.506,"age+IDH"
"TCGA-LGG","PDGFRA",1.05,0.893,1.25,0.534,508,123,0.594,"age+IDH"
"TCGA-LGG","PIK3R1",1.02,0.827,1.25,0.876,508,123,0.876,"age+IDH"
