"gene","beta_T","p_T","beta_C","p_C","r_grade_T","r_grade_C","p_T_BH","qc_ok","prognostic_T","replicated","signflip"
"RN7SL1",0.436864111602953,7.185217304842e-19,0.078131982511574,0.244437099867833,0.689238360045359,0.166823341010768,2.31781203382e-18,TRUE,TRUE,FALSE,FALSE
"RN7SL4P",0.40316689233493,6.52608183614253e-17,0.0395538169065091,0.565746464549484,0.69986492927613,-0.0503847013357003,1.60740931924693e-16,FALSE,TRUE,FALSE,FALSE
"RN7SKP80",0.371993479918401,1.4177702401363e-14,0.0855831726214685,0.204832835904607,0.498494489305646,-0.0932057566687741,2.72648123103134e-14,FALSE,TRUE,FALSE,FALSE
"MT-ATP8",-0.36996994349744,1.07859738202875e-14,-0.0238082421694008,0.733507192305817,-0.565391478963717,-0.144794601391205,2.09030500393169e-14,TRUE,TRUE,FALSE,FALSE
"RN7SL3",0.40972021623172,1.76294061468929e-17,0.00804419482287164,0.9080814343252,0.644683202471365,0.0205156734270626,4.73908767389595e-17,FALSE,TRUE,FALSE,FALSE
"MT-ND6",-0.380283692539191,8.14251638310875e-16,-0.197820290458865,0.00112467887388183,-0.689008354449536,-0.14345568568388,1.77011225719755e-15,TRUE,TRUE,TRUE,FALSE
"CHI3L1",0.741369601218025,1.06327415636657e-30,0.627531746182894,9.5498748099543e-20,0.640444231146926,0.505034881249215,3.79740770130916e-29,TRUE,TRUE,TRUE,FALSE
"MT-ND2",-0.374090083633993,1.64270956083904e-15,-0.147224307286778,0.0223633862183357,-0.681935592971096,-0.24146102819232,3.42231158508133e-15,TRUE,TRUE,TRUE,FALSE
"RPS4Y1",0.106484148555218,0.0497381585066248,0.00422482433695004,0.951609344851974,0.0232276860234259,0.0352261664295376,0.053252846366836,FALSE,FALSE,FALSE,FALSE
"MT-ATP6",-0.384890584531862,2.18102742709445e-16,-0.145661600401576,0.022610650991044,-0.655249081318511,-0.251512017697856,5.04867459975566e-16,TRUE,TRUE,TRUE,FALSE
"SCARNA7",0.367936171732638,1.00852073171916e-13,-0.073301535699698,0.297604620930005,0.378177235024742,-0.0696775899584594,1.85389840389552e-13,FALSE,TRUE,FALSE,FALSE
